accountNumber,sortCode,friendlyName,type,balance,date,id,userId
27634444,,gsterzer,savings,100,04/09/2020 11:25:25,5e8f06256e98c70043200683,5e775ed09a05c00044e99319
45070214,,howdy,checking,100,04/10/2020 19:23:51,5e90c7c76e98c700432006de,5e219d100a20023cc0a09dda
73506704,,Checkings,checking,100,04/14/2020 14:02:20,5e95c26c6e98c700432007c0,5e95c2356e98c700432007bf
51376577,,First Account,savings,16,04/15/2020 07:53:13,5e96bd696e98c70043200826,5e96b28e6e98c70043200820
33556274,,Second Account,checking,184,04/15/2020 07:53:45,5e96bd896e98c70043200827,5e96b28e6e98c70043200820
22741274,,Let the bodies hit the floor,savings,900300,04/15/2020 08:41:13,5e96c8a96e98c7004320082b,5e96c4ac6e98c70043200829
62672662,,Test Account,savings,100,04/15/2020 09:45:32,5e96d7bc6e98c70043200878,5e96d6846e98c70043200850
11167704,,Testing For Bernard,checking,100,04/21/2020 20:03:35,5e9f51976e98c70043200bd1,5e219d100a20023cc0a09dda
76456544,,Rachel's Checkings,checking,100,04/22/2020 13:50:57,5ea04bc16e98c70043200c1f,5ea04b076e98c70043200c1c
41334776,,Salary,savings,100,04/24/2020 04:19:49,5ea268e56e98c70043200d50,5ea268086e98c70043200d4f
22222,01-02-03,Ricks Check,savings,98824.89,04/27/2020 05:56:05,5ea673f56e98c70043200e10,5e219d100a20023cc0a09dda
56660064,,AlexC,checking,100,04/27/2020 06:44:17,5ea67f416e98c70043200e1f,5e56aef66fd1da004468765b
61336204,,Rachel's Checkings,checking,150,04/27/2020 15:39:32,5ea6fcb46e98c70043200ead,5ea6fc816e98c70043200eac
76300276,,G,checking,50,04/29/2020 19:44:23,5ea9d9176e98c700432010b1,5ea9d8dc6e98c700432010b0
65711647,,cel mic,savings,100,04/29/2020 20:21:39,5ea9e1d36e98c700432010bb,5ea9d8dc6e98c700432010b0
16311604,,My Checking Account,checking,-1075,04/30/2020 01:59:32,5eaa31046e98c700432010be,5eaa30d76e98c700432010bd
47474054,,Transfer Account,checking,1345,04/30/2020 02:01:08,5eaa31646e98c700432010bf,5eaa30d76e98c700432010bd
47616502,,My savings,savings,30,04/30/2020 02:03:16,5eaa31e46e98c700432010c2,5eaa30d76e98c700432010bd
36646231,,abc,savings,100,04/30/2020 06:47:57,5eaa749d6e98c700432010ca,5eaa745a6e98c700432010c9
1627356,,Test1,checking,100,04/30/2020 07:42:05,5eaa814d6e98c700432010dd,5eaa80f96e98c700432010dc
35544334,,Test2,checking,100,04/30/2020 07:42:11,5eaa81536e98c700432010de,5eaa80f96e98c700432010dc
6577736,,Test 3,savings,100,04/30/2020 08:14:11,5eaa88d36e98c700432010f7,5eaa80f96e98c700432010dc
64475514,,Main,checking,100,05/04/2020 12:24:48,5eb009906e98c70043201183,5eb009516e98c70043201182
75731043,,UiAccount,checking,51943151085.74,05/04/2020 16:17:18,5eb0400e6e98c7004320119b,5eb03fdb6e98c7004320119a
20742723,,saurabh,savings,102,05/05/2020 09:26:27,5eb131436e98c700432011e4,5eb130f36e98c700432011e3
1234567,999,USDADemo,checking,3272210764,05/07/2020 20:42:12,5eb472a46e98c70043201407,5eb03fdb6e98c7004320119a
51055655,,Product  Demo Account,checking,-400,05/08/2020 06:41:14,5eb4ff0a6e98c70043201416,5e775ed09a05c00044e99319
40700324,,Sharath,savings,100,05/08/2020 10:07:14,5eb52f526e98c70043201423,5eb52f146e98c70043201422
27344014,,Vadesiz Hesap,checking,0,05/08/2020 12:43:07,5eb553db6e98c70043201426,5ea9772a6e98c7004320105e
24567637,,volkanonat,checking,50,05/08/2020 13:25:58,5eb55de66e98c70043201429,5eb55d996e98c70043201428
35536035,,iremicli,checking,25,05/08/2020 13:27:16,5eb55e346e98c7004320142a,5eb55d996e98c70043201428
46220451,,test1,checking,100,05/08/2020 13:58:31,5eb565876e98c70043201436,5eb5646c6e98c70043201434
4223151,,Checking,checking,100,05/08/2020 14:54:05,5eb5728d6e98c70043201439,5eb572366e98c70043201438
51654065,,Savings,savings,110,05/08/2020 14:58:13,5eb573856e98c7004320143a,5eb572366e98c70043201438
63161564,,Checkings,checking,75,05/08/2020 15:16:49,5eb577e16e98c7004320143e,5eb5772d6e98c7004320143d
5234415,,Emergency Fund,savings,125,05/08/2020 15:17:26,5eb578066e98c7004320143f,5eb5772d6e98c7004320143d
10151122,,Smit Savings Bank Account,savings,56,05/11/2020 00:58:29,5eb8a3356e98c70043201498,5eb8a2e76e98c70043201497
52371264,,Smit Checking Account,checking,144,05/11/2020 00:58:42,5eb8a3426e98c70043201499,5eb8a2e76e98c70043201497
77205104,,Check1,checking,100,05/11/2020 08:25:38,5eb90c026e98c7004320149d,5eb90a226e98c7004320149c
76557004,,ozancandeniz,checking,0,05/11/2020 12:33:28,5eb946186e98c700432014a2,5eb55d996e98c70043201428
12344615,,hakantekin,checking,20,05/11/2020 12:33:43,5eb946276e98c700432014a3,5eb55d996e98c70043201428
45363676,,ceydaeren,checking,95,05/11/2020 12:33:52,5eb946306e98c700432014a4,5eb55d996e98c70043201428
20545577,,kutaysunguroglu,checking,100,05/11/2020 12:34:05,5eb9463d6e98c700432014a5,5eb55d996e98c70043201428
27233002,,oguzhantasgın,checking,100,05/11/2020 12:34:18,5eb9464a6e98c700432014a6,5eb55d996e98c70043201428
70707517,,tugceese,checking,40,05/11/2020 12:34:26,5eb946526e98c700432014a7,5eb55d996e98c70043201428
55155727,,tugayese,checking,100,05/11/2020 12:34:34,5eb9465a6e98c700432014a8,5eb55d996e98c70043201428
46635566,,elifkilic,checking,0,05/11/2020 12:34:43,5eb946636e98c700432014a9,5eb55d996e98c70043201428
57066364,,halilkoc,checking,100,05/11/2020 12:35:04,5eb946786e98c700432014aa,5eb55d996e98c70043201428
17124334,,Demo Account,checking,100,05/12/2020 02:39:33,5eba0c656e98c700432014f0,5eba0ace6e98c700432014ef
14250333,,Account1,savings,100,05/13/2020 14:58:08,5ebc0b00ec543e0044a052df,5ebb0fcf6e98c7004320156c
20412106,,Account2,checking,100,05/13/2020 14:58:32,5ebc0b18ec543e0044a052e0,5ebb0fcf6e98c7004320156c
13447024,,Yeni Hesap,savings,200,05/14/2020 07:36:38,5ebcf506ec543e0044a05390,5ea9772a6e98c7004320105e
13536134,,Kevin,savings,90,05/14/2020 14:47:05,5ebd59e9ec543e0044a053c5,5ebad6ce6e98c70043201542
32424354,,KC Savings,savings,110,05/14/2020 14:51:04,5ebd5ad8ec543e0044a053c6,5ebad6ce6e98c70043201542
74346067,,TestAccount1,checking,50,05/14/2020 18:17:16,5ebd8b2cec543e0044a053da,5ebd8ae3ec543e0044a053d9
15436174,,SavingsAccount,savings,150,05/14/2020 18:18:46,5ebd8b86ec543e0044a053db,5ebd8ae3ec543e0044a053d9
32530764,,,checking,100,05/14/2020 20:44:33,5ebdadb1ec543e0044a053ee,5ebdad8bec543e0044a053ed
77153643,,Checking UiBank,checking,100,05/14/2020 21:25:44,5ebdb758ec543e0044a053f2,5ebdad8bec543e0044a053ed
5436677,,Checking UiBank,checking,100,05/14/2020 21:27:10,5ebdb7aeec543e0044a053f3,5ebdad8bec543e0044a053ed
3634611,,Checking UiBank,checking,100,05/14/2020 21:28:29,5ebdb7fdec543e0044a053f4,5ebdad8bec543e0044a053ed
906731,005100032,Main Account,checking,2850.3,05/15/2020 16:25:36,5ebec280ec543e0044a05491,5ebec108ec543e0044a05490
45526224,,VDKKPMG,savings,100,05/17/2020 14:30:37,5ec14a8dec543e0044a054ee,5ec1496aec543e0044a054ed
67375034,,Siva,checking,100,05/19/2020 00:07:41,5ec3234dec543e0044a055ba,5ec322e4ec543e0044a055b8
31752724,,Siva Savings,savings,100,05/19/2020 00:08:00,5ec32360ec543e0044a055bb,5ec322e4ec543e0044a055b8
25663734,,kc,checking,100,05/19/2020 15:12:05,5ec3f745ec543e0044a056d7,5ebad6ce6e98c70043201542
67404624,,marcio.bouzon,checking,100,05/19/2020 20:06:57,5ec43c61ec543e0044a056f4,5ec43c0bec543e0044a056f3
55012616,,Venkata Pramod Chandra,savings,100,05/20/2020 14:10:01,5ec53a39ec543e0044a057f6,5ec538f7ec543e0044a057f5
61170047,,Nikolai K,checking,100,05/20/2020 14:21:45,5ec53cf9ec543e0044a057f7,5e56aef66fd1da004468765b
6564167,,StudioXRussia,savings,100,05/20/2020 14:32:29,5ec53f7dec543e0044a057fa,5e56aef66fd1da004468765b
25322623,,Savings,savings,100,05/20/2020 14:53:46,5ec5447aec543e0044a057fc,5ec54031ec543e0044a057fb
64432314,,New Checking Account,checking,100,05/20/2020 17:33:41,5ec569f5ec543e0044a057fd,5e775ed09a05c00044e99319
11576146,,New Savings Account,savings,100,05/20/2020 17:38:31,5ec56b17ec543e0044a057fe,5e775ed09a05c00044e99319
63020677,,Task Capture,checking,100,05/20/2020 17:45:35,5ec56cbfec543e0044a05800,5ebdad8bec543e0044a053ed
43353714,,New Checking Account,checking,100,05/20/2020 17:56:56,5ec56f68ec543e0044a05801,5e775ed09a05c00044e99319
21645274,,New Savings Account,savings,100,05/20/2020 17:57:25,5ec56f85ec543e0044a05802,5e775ed09a05c00044e99319
2431246,,Task Capture,checking,100,05/20/2020 22:31:47,5ec5afd3ec543e0044a0580d,5ebdad8bec543e0044a053ed
54653006,,tester,checking,100,05/20/2020 22:44:44,5ec5b2dcec543e0044a0580e,5ebdad8bec543e0044a053ed
12563403,,Task Capture,checking,100,05/20/2020 22:45:34,5ec5b30eec543e0044a0580f,5ebdad8bec543e0044a053ed
12134514,,TC Checking,checking,100,05/20/2020 22:51:22,5ec5b46aec543e0044a05810,5ebdad8bec543e0044a053ed
2504707,,ACC Test,checking,100,05/20/2020 23:52:20,5ec5c2b4ec543e0044a05811,5ebdad8bec543e0044a053ed
14122166,,Account 1,checking,100,05/21/2020 12:33:43,5ec67527ec543e0044a058e4,5ebdad8bec543e0044a053ed
65700664,,Account Dummy,checking,100,05/21/2020 14:42:18,5ec6934aec543e0044a05908,5ebdad8bec543e0044a053ed
65630074,,Ray,savings,100,05/22/2020 03:54:44,5ec74d04ec543e0044a05952,5ec74cc8ec543e0044a05950
60130274,,Family Account,savings,75,05/22/2020 19:33:27,5ec82907ec543e0044a05a22,5ec828c7ec543e0044a05a21
55334123,,Family Savings,savings,125,05/22/2020 19:34:09,5ec82931ec543e0044a05a23,5ec828c7ec543e0044a05a21
85647,,,checking,0,05/22/2020 20:01:57,5ec82fb5ec543e0044a05a29,5e56aef66fd1da004468765b
85647,,,checking,0,05/22/2020 20:02:04,5ec82fbcec543e0044a05a2a,5e56aef66fd1da004468765b
85647,,,checking,0,05/22/2020 20:03:07,5ec82ffbec543e0044a05a2b,5e56aef66fd1da004468765b
30235377,,monish,savings,100,05/24/2020 06:27:34,5eca13d6ec543e0044a05a5e,5eca12beec543e0044a05a5d
22522554,,Test,checking,102,05/27/2020 12:43:29,5ece6071ec543e0044a05be8,5ece6030ec543e0044a05be7
12354235,,Test2,savings,98,05/27/2020 12:43:43,5ece607fec543e0044a05be9,5ece6030ec543e0044a05be7
32645342,,Adient Demo,checking,100,05/27/2020 13:40:41,5ece6dd9ec543e0044a05c04,5ebdad8bec543e0044a053ed
33473704,,sg13,savings,120,05/28/2020 13:34:32,5ecfbde8ec543e0044a05c46,5ecfbd66ec543e0044a05c45
70662204,,kishoriap,savings,100,05/30/2020 07:36:35,5ed20d03ec543e0044a05cf1,5ed20c8bec543e0044a05cf0
5410107,,Christine's Checking,checking,526.04,06/02/2020 13:18:40,5ed651b0ec543e0044a05ea9,5ed5f1adec543e0044a05e72
22222,01-02-03,Ricks Check,savings,44170.89,06/03/2020 17:02:35,5ed7d7ab38ab350043b9df74,5e219d100a20023cc0a09dda
22222,01-02-03,Ricks Check,savings,44170.89,06/03/2020 17:02:50,5ed7d7ba38ab350043b9df75,5e219d100a20023cc0a09dda
43166314,,Balu,checking,100,06/04/2020 05:17:25,5ed883e538ab350043b9e0b0,5ed4ab2eec543e0044a05dde
15022404,,Balu,checking,100,06/04/2020 07:38:53,5ed8a50d38ab350043b9e0d5,5ed4ab2eec543e0044a05dde
221166,11-06-22,Dean Murphy - Car Loan,savings,23429,06/04/2020 17:17:27,5ed92ca738ab350043b9e14a,5ed8ba3b38ab350043b9e0e7
28379,12233,홍길동,savings,1000,06/05/2020 11:09:21,5eda27e138ab350043b9e1bc,5e33e66ef0b452a1a874b7a6
42351264,,Bharath,savings,100,06/08/2020 06:06:19,5eddd55b38ab350043b9e1f8,5ed4ab2eec543e0044a05dde
7565644,,MohitGanotra,savings,120,06/09/2020 01:47:05,5edeea1938ab350043b9e238,5edee9d838ab350043b9e237
14257434,,mdf1,checking,100,06/09/2020 08:45:54,5edf4c4238ab350043b9e251,5edf396c38ab350043b9e24f
5357752,,mdf2,savings,100,06/09/2020 08:52:31,5edf4dcf38ab350043b9e252,5edf396c38ab350043b9e24f
16221544,,mdf3,checking,100,06/09/2020 08:52:39,5edf4dd738ab350043b9e253,5edf396c38ab350043b9e24f
52226504,,Checking UiBank,checking,100,06/09/2020 11:55:03,5edf789738ab350043b9e27d,5ebdad8bec543e0044a053ed
1440234,,DO NOT TOUCH - SAVINGS,savings,100,06/09/2020 18:06:18,5edfcf9a38ab350043b9e2b5,5ed5f1adec543e0044a05e72
35174574,,Ronan Fabricante,savings,100,06/10/2020 04:36:06,5ee0633638ab350043b9e322,5ee062fb38ab350043b9e321
71416124,,Ronan Checking Account,checking,100,06/10/2020 04:36:30,5ee0634e38ab350043b9e323,5ee062fb38ab350043b9e321
36350653,,indra,savings,100,06/10/2020 05:43:08,5ee072ec38ab350043b9e327,5ee0714d38ab350043b9e326
41315324,,Checking,checking,100,06/11/2020 21:49:58,5ee2a70638ab350043b9e426,5ed95f6338ab350043b9e15a
